YR,PAT_COUNTY,COUNTY,NPCSEC_CNT,PCSEC_CNT,TOTAL,PCRATE
2019,185,Grimes County,126,24,150,16
2019,355,Nueces County,1879,357,2236,16
2016,365,Panola County,143,27,170,15.9
2017,507,Zavala County,53,10,63,15.9
2018,237,Jack County,37,7,44,15.9
2016,005,Angelina County,673,126,799,15.8
2016,041,Brazos County,1556,293,1849,15.8
2016,229,Hudspeth County,16,3,19,15.8
2017,313,Madison County,85,16,101,15.8
2017,401,Rusk County,308,58,366,15.8
2017,417,Shackelford County,16,3,19,15.8
2018,031,Blanco County,48,9,57,15.8
2018,191,Hall County,16,3,19,15.8
2018,377,Presidio County,64,12,76,15.8
2018,413,Schleicher County,16,3,19,15.8
2018,435,Sutton County,32,6,38,15.8
2019,079,Cochran County,16,3,19,15.8
2019,253,Jones County,64,12,76,15.8
2019,441,Taylor County,915,172,1087,15.8
2019,499,Wood County,187,35,222,15.8
2016,315,Marion County,59,11,70,15.7
2017,465,Val Verde County,435,81,516,15.7
2018,041,Brazos County,1539,286,1825,15.7
2018,053,Burnet County,241,45,286,15.7
2018,227,Howard County,241,45,286,15.7
2018,389,Reeves County,107,20,127,15.7
2019,031,Blanco County,43,8,51,15.7
2019,149,Fayette County,102,19,121,15.7
2019,187,Guadalupe County,612,114,726,15.7
2016,093,Comanche County,81,15,96,15.6
2016,119,Delta County,38,7,45,15.6
2016,187,Guadalupe County,863,160,1023,15.6
2016,465,Val Verde County,534,99,633,15.6
2016,487,Wilbarger County,92,17,109,15.6
2017,253,Jones County,92,17,109,15.6
2017,315,Marion County,54,10,64,15.6
2018,251,Johnson County,1359,251,1610,15.6
2019,305,Lynn County,27,5,32,15.6
2016,097,Cooke County,290,53,343,15.5
2016,281,Lampasas County,120,22,142,15.5
2017,317,Martin County,49,9,58,15.5
2018,067,Cass County,169,31,200,15.5
2019,313,Madison County,71,13,84,15.5
2019,399,Runnels County,60,11,71,15.5
2016,193,Hamilton County,66,12,78,15.4
2017,091,Comal County,968,176,1144,15.4
2017,109,Culberson County,22,4,26,15.4
2017,135,Ector County,1554,283,1837,15.4
2017,259,Kendall County,230,42,272,15.4
2017,265,Kerr County,313,57,370,15.4
2017,451,Tom Green County,921,168,1089,15.4
2017,459,Upshur County,241,44,285,15.4
2018,401,Rusk County,274,50,324,15.4
2019,293,Limestone County,99,18,117,15.4
2019,309,McLennan County,1419,258,1677,15.4
2019,329,Midland County,1354,247,1601,15.4
2016,049,Brown County,233,42,275,15.3
2016,251,Johnson County,1343,242,1585,15.3
2016,329,Midland County,1721,311,2032,15.3
2017,255,Karnes County,105,19,124,15.3
2017,403,Sabine County,61,11,72,15.3
2017,497,Wise County,450,81,531,15.3
2018,005,Angelina County,677,122,799,15.3
2018,145,Falls County,94,17,111,15.3
2018,253,Jones County,83,15,98,15.3
2018,287,Lee County,133,24,157,15.3
2019,249,Jim Wells County,211,38,249,15.3
2016,051,Burleson County,117,21,138,15.2
2016,185,Grimes County,195,35,230,15.2
2017,055,Caldwell County,347,62,409,15.2
2017,139,Ellis County,1419,254,1673,15.2
2017,249,Jim Wells County,302,54,356,15.2
2018,007,Aransas County,95,17,112,15.2
2018,165,Gaines County,196,35,231,15.2
2016,077,Clay County,45,8,53,15.1
2016,415,Scurry County,158,28,186,15.1
2017,145,Falls County,90,16,106,15.1
2018,093,Comanche County,79,14,93,15.1
2016,131,Duval County,96,17,113,15
2016,299,Llano County,113,20,133,15
2016,381,Randall County,1015,179,1194,15
2016,421,Sherman County,17,3,20,15
2017,105,Crockett County,17,3,20,15
2018,075,Childress County,34,6,40,15
2018,215,Hidalgo County,7986,1411,9397,15
2018,223,Hopkins County,272,48,320,15
2018,405,San Augustine County,51,9,60,15
2018,423,Smith County,1717,304,2021,15
2018,465,Val Verde County,448,79,527,15
2018,487,Wilbarger County,96,17,113,15
2017,337,Montague County,120,21,141,14.9
2017,423,Smith County,1790,314,2104,14.9
2017,437,Swisher County,40,7,47,14.9
2018,073,Cherokee County,435,76,511,14.9
2018,203,Harrison County,326,57,383,14.9
2019,287,Lee County,74,13,87,14.9
2019,371,Pecos County,80,14,94,14.9
2016,293,Limestone County,190,33,223,14.8
2017,217,Hill County,224,39,263,14.8
2017,251,Johnson County,1402,243,1645,14.8
2017,353,Nolan County,115,20,135,14.8
2018,017,Bailey County,69,12,81,14.8
2018,213,Henderson County,559,97,656,14.8
2018,461,Upton County,23,4,27,14.8
2019,077,Clay County,23,4,27,14.8
2019,153,Floyd County,23,4,27,14.8
2019,363,Palo Pinto County,132,23,155,14.8
2016,139,Ellis County,1410,243,1653,14.7
2016,209,Hays County,1570,270,1840,14.7
2017,387,Red River County,64,11,75,14.7
2017,399,Runnels County,58,10,68,14.7
2019,213,Henderson County,431,74,505,14.7
2016,027,Bell County,2475,423,2898,14.6
2016,353,Nolan County,123,21,144,14.6
2018,187,Guadalupe County,898,153,1051,14.6
2018,189,Hale County,234,40,274,14.6
2019,075,Childress County,35,6,41,14.6
2019,183,Gregg County,932,159,1091,14.6
2019,227,Howard County,169,29,198,14.6
2019,401,Rusk County,222,38,260,14.6
2016,309,McLennan County,2244,380,2624,14.5
2017,005,Angelina County,630,107,737,14.5
2017,177,Gonzales County,153,26,179,14.5
2017,293,Limestone County,165,28,193,14.5
2018,329,Midland County,1813,307,2120,14.5
2019,215,Hidalgo County,5718,972,6690,14.5
2016,183,Gregg County,1213,204,1417,14.4
2017,021,Bastrop County,652,110,762,14.4
2019,365,Panola County,101,17,118,14.4
2016,411,San Saba County,42,7,49,14.3
2017,475,Ward County,96,16,112,14.3
2018,019,Bandera County,90,15,105,14.3
2018,137,Edwards County,18,3,21,14.3
2018,209,Hays County,1625,272,1897,14.3
2018,259,Kendall County,227,38,265,14.3
2018,333,Mills County,18,3,21,14.3
2018,421,Sherman County,24,4,28,14.3
2018,483,Wheeler County,24,4,28,14.3
2019,197,Hardeman County,12,2,14,14.3
2019,267,Kimble County,18,3,21,14.3
2019,295,Lipscomb County,18,3,21,14.3
